id,name,rating,north_indian,south_indian,chinese,italian,mughlai,price,distance,opening_time,closing_time,wi-fi,parking
73,Sunrise Food And Shoope,1,1,1,0,0,0,250,7.1,9:00,21:00,0,0
74,Ginger Fast Food,1,1,1,0,0,1,125,4.5,8:00,20:00,0,0
75,Sagar Ratna,4,1,1,1,0,1,150,10,9:00,21:00,1,1
76,Partho's Restaurant,3.8,1,0,1,0,0,200,6.5,8:30,22:30,1,0
77,Hindustan Family Restaurant,1,0,1,1,1,0,200,3.2,8:00,20:00,0,1
78,Crood Square,3.8,1,0,0,1,1,150,9.3,9:30,21:30,1,1
79,The Mint Leaf,3.9,1,1,1,0,1,150,5.7,10:00,22:00,1,0
80,BSB Locals,4,1,0,1,0,1,150,6.5,8:30,21:00,0,1
81,Rahil Restaurant,4,1,1,1,0,0,200,4.3,9:00,21:00,0,1
82,City Pleasantry,3.8,0,0,1,1,0,100,8.2,9:30,22:30,0,1
83,Bikanervala,4.1,1,1,0,0,0,250,7.2,10:00,22:30,0,0
84,Apna Fast Food corner,3.8,1,0,1,0,0,125,5.1,10:00,21:00,0,0
85,Cafebility,3.9,1,0,1,1,0,200,4.3,9:30,21:00,1,0
86,Saffron Veg Restaurant,4.1,1,1,0,0,0,175,5.6,9:00,21:00,0,0
87,Zeenat Restaurant,4,1,0,0,1,0,300,6.5,9:00,21:00,0,0
88,Shahi Daya Restaurant,4.1,1,1,1,0,0,300,3.9,10:00,22:00,1,1
89,Meenu Sweets & Restaurant,3.7,1,1,1,0,0,125,4.4,10:00,22:00,0,0
90,Hotel Kalika,3.8,1,1,0,0,1,150,5.6,9:30,21:30,1,1
